,index,Unnamed: 0,idCarpeta,Año_inicio,Mes_inicio,FechaInicio,Delito,Categoria,Sexo,Edad,TipoPersona,CalidadJuridica,competencia,Año_hecho,Mes_hecho,FechaHecho,HoraHecho,HoraInicio,alcaldia_hechos,municipio_hechos,colonia_datos,fgj_colonia_registro,latitud,longitud,ageb,shp
0,188,192,8325049.0,2019,Enero,2019-01-05,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,41.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-05,01:15:00,01:53:00,XOCHIMILCO,,TLAXOPAN_XOCHIMILCO,ROSARIO TLALI,19.2378,-99.14423,0813,
1,384,389,8325655.0,2019,Enero,2019-01-06,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,27.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-06,04:08:00,04:09:00,ALVARO OBREGON,,BELLA VISTA_ALVARO OBREGON,TOLTECA,19.39518,-99.19339,1773,
2,454,460,8325855.0,2019,Enero,2019-01-06,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,20.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-06,15:42:00,15:50:00,IZTAPALAPA,,SAN JOSE (BARR)_IZTAPALAPA,SAN JOSÉ,19.36676,-99.08792,0750,
3,512,520,8326053.0,2019,Enero,2019-01-07,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,31.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-07,01:00:00,02:15:00,XOCHIMILCO,,SANTA MARIA TEPEPAN (PBLO)_XOCHIMILCO,SANTA MARÍA TEPEPAN,19.27232,-99.13592,0067,
4,519,527,8326074.0,2019,Enero,2019-01-07,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,30.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-07,00:00:00,03:40:00,IZTAPALAPA,,No especificado_IZTAPALAPA,,19.309126666666668,-99.2063,1307,
5,527,535,8326101.0,2019,Enero,2019-01-07,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Femenino,19.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-07,05:00:00,07:18:00,GUSTAVO A. MADERO,,SAN FELIPE DE JESUS III_GUSTAVO A. MADERO,SAN FELIPE DE JESÚS,19.50134,-99.07556,085A,
6,788,799,8326837.0,2019,Enero,2019-01-08,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,36.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-08,00:19:00,00:40:00,TLAHUAC,,SANTA CECILIA_TLAHUAC,SANTA CECILIA,19.27643,-99.0055,0359,
7,1024,1037,8327606.0,2019,Enero,2019-01-08,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,27.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-08,21:10:00,21:52:00,VENUSTIANO CARRANZA,,PENITENCIARIA (AMPL)_VENUSTIANO CARRANZA,PENITENCIARIA,19.43644,-99.11446,0403,
8,1043,1057,8327658.0,2019,Enero,2019-01-08,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,36.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-08,22:15:00,23:10:00,BENITO JUAREZ,,NONOALCO_BENITO JUAREZ,SANTA MARIA NONOALCO,19.37688,-99.18902,0685,
9,1578,1595,8329326.0,2019,Enero,2019-01-10,HOMICIDIO_POR_ARMA_DE_FUEGO,HOMICIDIO DOLOSO,Masculino,19.0,FISICA,CADAVER,FUERO COMUN,2019.0,Enero,2019-01-10,19:00:00,21:17:00,GUSTAVO A. MADERO,,LA PASTORA_GUSTAVO A. MADERO,LA PASTORA,19.52718,-99.13896,0332,
